NAME,ID,SCORE
Samantha,118397,112
Tashya,195784,114
Driscoll,157916,114
Callie,153874,115
Isabella,126662,117
Fitzgerald,169676,119
Aspen,151064,121
Sheila,168013,121
Isabella,107598,121
Sloane,109169,121
Ali,140607,122
Aspen,100005,123
Kelly,146780,123
Ali,179464,124
MacKensie,163354,124
Kelly,127844,125
Christopher,155206,125
Nayda,119925,126
Jacob,170100,128
Kato,146522,129
Jesse,144040,130
Hayes,123310,131
Teagan,142794,133
Dana,118042,133
Travis,146571,134
Alan,106932,134
Salvador,141426,134
Basil,145420,137
Wynter,103591,138
Daniel,127687,139
Ulric,179400,139
Daryl,132847,141
Amir,163133,142
Colton,198760,145
Samantha,194479,146
Kelly,168419,147
Christopher,191114,147
Kato,145931,148
Macy,104954,148
Hayes,166775,150
Merrill,124502,151
Drake,184403,151
Price,175233,154
Aspen,129560,154
Delilah,132574,159
Jane,161042,159
Callie,128121,159
Damian,139249,159
Vincent,112856,161
Kyra,184037,162
Kato,187937,163
Marshall,159079,165
Knox,142799,166
Knox,118094,166
Rinah,135562,167
Cailin,174584,168
Marsden,111357,168
Hermione,152759,169
Anne,154195,170
Macy,169250,171
Quon,140496,172
Christopher,197586,172
Daniel,112068,172
Caldwell,194409,172
Kellie,168690,175
Mariko,120007,178
Kellie,179871,178
Marsden,113136,178
Aquila,190571,179
Olivia,110180,179
Aaron,140803,179
Tad,122440,180
Philip,151228,180
Macy,169080,180
Price,131332,181
Kieran,196178,181
Knox,113555,181
Dana,160660,181
Kyra,119052,181
Tarik,188603,182
Philip,101396,183
Naomi,162056,184
Ulric,140616,184
Ali,123069,187
Merrill,174592,188
Hermione,138862,189
Hermione,160966,189
Kyra,160615,190
Olivia,143040,191
Quon,108296,192
Yardley,161760,193
Damian,150224,193
Caldwell,103269,194
Katelyn,191304,194
Jasmine,119154,195
Samantha,142917,196
Eagan,188957,197
Prescott,195641,198
Basil,127663,198
Jaime,176297,199
Ezekiel,117835,199
Christopher,134295,200
Aspen,109506,203
Dana,101155,205
Dana,187628,206
Philip,142099,207
Heidi,187246,207
Knox,155336,209
Kelly,173684,210
Alan,141576,215
Kyra,178932,216
Macy,146111,217
Kyra,137681,218
Anastasia,198196,221
Katelyn,147100,221
Tarik,180324,222
Kieran,113763,222
Kameko,184958,222
Fitzgerald,125799,222
Teagan,139156,223
Driscoll,186206,224
Kelly,172533,225
Zia,177096,225
Kato,198619,227
Teagan,105225,228
Skyler,145343,228
Cailin,196481,231
Drake,114024,233
Hermione,166376,235
Freya,157468,235
MacKensie,177966,236
Fuller,134625,237
Fitzgerald,139884,237
Tad,166053,242
Price,192196,243
Eagan,138092,243
Kitra,178093,245
Heidi,142557,246
Cailin,128810,246
Salvador,194512,248
Naomi,171650,248
Hermione,113667,249
Dalton,115665,249
Merrill,112228,249
Tarik,181927,251
Katelyn,153192,252
Knox,119061,252
Quon,152284,253
Mariko,169125,255
Hermione,171710,255
Heidi,124888,256
Anne,153292,256
Isabella,192828,257
MacKensie,143289,258
Daryl,135511,262
Driscoll,149698,262
Zia,140099,265
Michael,119529,266
Idola,145411,266
Jesse,104848,266
Odessa,131121,267
Drake,166381,267
Anastasia,185204,267
Lavinia,128443,268
Dalton,197777,268
Jane,138151,269
Sheila,128283,270
Kitra,172223,270
Michael,180705,271
Sloane,100433,275
Odessa,132169,277
Casey,167711,280
Nayda,109699,281
Dalton,136500,281
Sheila,191945,282
Knox,113796,282
Zoe,140912,283
Skyler,180713,283
Naomi,174055,285
Kyra,177642,287
Daryl,103797,287
Wyatt,133808,288
Kyra,109703,288
Jesse,119436,291
Caldwell,171772,291
Kyra,171239,291
Cailin,108222,292
Lydia,199842,292
Kyra,144987,292
Prescott,110860,293
Kyra,112045,294
Lavinia,117264,295
Amanda,114416,296
Knox,181140,296
Casey,118378,298
Alan,114701,298
Casey,126943,299
Teagan,133121,299
Damian,181985,300
Driscoll,103555,300
Idola,142047,300
Jaime,196412,301
Callie,133602,303
Caldwell,105607,304
Philip,157410,306
Freya,111785,307
Wynter,112962,308
Vincent,171496,310
Isabella,154446,310
Hayfa,153018,310
Mariko,100679,311
Tad,108145,311
Jesse,179829,311
Teagan,109280,312
Prescott,194273,314
Kieran,155231,314
Tarik,171273,315
Philip,170830,315
Ulric,146733,316
Laurel,163941,319
Amir,172937,321
Laurel,176248,322
Colton,100912,326
Kyra,166780,326
Colton,101638,331
Ulric,198438,334
Marsden,126606,334
Aspen,122657,335
Isabella,176782,337
Fitzgerald,125563,339
Philip,132149,339
Jaime,158725,340
Kellie,164745,341
Hayes,199349,342
Daryl,126235,342
Michael,138687,346
Melanie,110470,346
Quon,169141,348
Kyra,148158,349
Tashya,112818,349
Mariko,107120,351
Kelly,132503,352
Knox,171084,352
Amanda,158762,353
Ulric,172007,353
Casey,192481,355
Price,130210,356
Heidi,102165,358
Aaron,177299,360
Dana,157431,360
Freya,145254,361
Daryl,130341,364
Anastasia,140696,364
Jasmine,176458,369
Gwendolyn,196426,369
Quon,186558,369
Driscoll,174609,370
Isabella,143202,370
Cailin,185168,371
Marshall,178476,373
Macy,134155,373
Kameko,197542,374
Daryl,121507,374
Vincent,123764,378
Ezekiel,177296,378
Knox,184779,382
Kyra,164535,382
Colton,104288,387
Kellie,151156,387
Ali,198677,388
Alan,195618,391
Yardley,189543,392
Marny,151555,392
Casey,103663,395
Kelly,157629,397
Isabella,140355,398
Anne,173311,400
Samantha,190826,401
Odessa,151246,402
Dalton,170805,403
Wyatt,120681,404
Tarik,171479,404
Jaime,164515,404
Katelyn,189082,406
Anastasia,127570,407
Melanie,185317,407
Anastasia,110718,409
Kitra,198319,409
Basil,181273,410
Marny,133549,412
Zia,177647,414
Daniel,109847,415
Heidi,108220,415
Kato,197317,416
Macy,139128,417
Kieran,155633,417
Skyler,123543,418
Naomi,192995,419
Cailin,126086,419
Isabella,122711,420
Kameko,137066,420
Wyatt,114623,422
Kieran,138530,422
Colton,101809,424
Dana,133294,424
Katelyn,139832,425
Miriam,111194,426
Marny,193858,426
Hilel,161070,427
Ezekiel,188068,427
Kameko,178736,428
Miriam,140743,429
Dana,157573,429
Isabella,138083,430
Teagan,100778,432
Freya,139685,432
Anastasia,118007,433
Isabella,154316,433
Quon,176078,434
Aspen,134830,434
Rinah,120194,435
Odessa,112893,435
Tad,136199,436
Naomi,138953,436
Marny,130990,436
Daryl,115881,439
Idola,101837,440
Tarik,193563,441
Jasmine,165326,442
Kameko,120781,442
Samantha,195175,442
Rylee,174345,442
Caldwell,104824,443
Melanie,163370,444
Amir,191112,448
Teagan,175834,449
Amanda,182989,452
Kieran,102697,453
Anastasia,191707,454
Knox,112282,458
Jasmine,178561,458
Knox,199266,459
Kitra,148262,459
Kelly,115002,459
Tad,198017,460
Aquila,177274,464
Alan,103428,464
Tashya,115295,466
Sloane,139803,466
Tarik,163826,466
Anne,195626,466
Casey,121576,467
Laurel,181340,468
Kellie,139451,468
Dana,120010,469
Fuller,196362,470
Zia,157467,472
Tarik,174437,472
Tad,100784,473
Ezekiel,141416,473
Kameko,117662,475
Wyatt,186440,475
Eagan,144584,475
Tashya,190233,476
Kyra,168714,477
Lavinia,101956,479
Miriam,179788,480
Amir,102421,483
Mariko,178910,484
Sheila,124266,486
Wynter,144197,486
Freya,159440,487
Jacob,191143,490
Miriam,156722,492
Caldwell,189155,493
Travis,108181,494
Christopher,193527,494
Rinah,147124,495
Jesse,102691,497
Dana,144545,497
Sloane,117306,498
Wyatt,149926,498
Lavinia,114037,499
Callie,194269,499
Tad,185717,501
Anastasia,127462,501
Sheila,128430,503
Fuller,101412,504
Anne,189513,504
Naomi,136103,506
Katelyn,193209,507
Lydia,166379,507
Fuller,118767,507
Prescott,131411,510
Kitra,195952,510
Katelyn,127452,510
Vincent,105981,513
Jasmine,145262,514
Odessa,171182,514
Callie,115918,515
Salvador,149170,516
Price,143905,518
Lydia,186429,519
Skyler,169602,521
Kellie,101806,522
Colton,129587,524
Jaime,148911,524
Jane,191200,526
Miriam,163979,527
Lavinia,190911,528
Naomi,147482,528
Amanda,112372,528
Kyra,140443,529
Casey,132114,531
Zia,153208,532
Tucker,178780,532
Kyra,173690,533
Lavinia,129786,534
Price,123579,535
Price,112006,535
Fuller,129016,536
Dana,109668,536
Knox,185091,537
Tad,162750,538
Wynter,192758,538
Hilel,143913,538
Aquila,110216,539
Rylee,120574,540
Tashya,196931,540
Heidi,161851,541
Lydia,120717,541
Sheila,168863,542
Alan,143858,542
Jane,145954,542
Idola,188534,545
Prescott,113823,545
Cailin,146116,548
Aquila,112415,548
Samantha,195926,548
Samantha,148706,550
Kitra,144256,552
Kellie,195666,553
Tad,112652,554
Heidi,193751,554
Michael,115126,555
Odessa,191400,555
Skyler,142774,558
Price,113417,561
Isabella,130575,562
Jaime,198306,562
Lavinia,108393,563
Melanie,184775,564
Samantha,146846,565
Kyra,182280,565
Macy,168160,565
Isabella,191813,566
Samantha,136792,569
Tarik,125715,569
Olivia,110043,570
Hayes,146328,571
Jesse,113717,572
Hayes,162117,573
Kitra,108569,574
Tucker,184724,574
Ezekiel,175926,576
Kameko,162959,577
Kyra,177124,578
Driscoll,136837,579
Amanda,155344,579
Hilel,112270,584
Laurel,160313,586
Daryl,125452,586
Jane,175234,587
MacKensie,123671,587
Hilel,120759,588
Tarik,160529,589
Eagan,112839,589
Anne,111598,591
Hayes,100414,592
Ezekiel,147090,593
Marny,142376,594
Kato,176038,596
Aspen,124709,599
Kellie,165874,600
Zoe,178389,600
Miriam,166583,601
Caldwell,114883,603
Amanda,107452,603
Daniel,121548,603
Alan,100731,603
Tad,113171,605
Samantha,152307,605
Casey,150915,606
Amanda,108754,608
Miriam,100401,610
Aaron,175748,610
Cailin,110181,610
Kyra,129874,610
Marshall,159408,612
Amanda,107063,612
Aquila,180652,613
Rylee,188746,614
Tucker,172993,618
Merrill,168679,619
Philip,144161,619
Mariko,131595,621
Samantha,193070,621
Wynter,172519,621
Drake,177969,622
Anne,186870,623
Gwendolyn,133255,623
Hayes,185746,624
Jesse,114876,625
Anne,135711,626
Knox,157173,629
Damian,142698,630
Kyra,186596,631
Casey,114474,631
Tarik,183498,632
Freya,118861,632
Vincent,142322,634
Ali,139140,636
Yardley,197408,636
Kyra,106906,638
Isabella,144468,638
Odessa,187949,640
Damian,185055,641
Merrill,151878,641
Dalton,119301,642
Jaime,197808,642
Aaron,186696,644
Olivia,170898,645
Amir,159027,646
Hayes,113969,646
Damian,109652,648
Macy,126771,648
Kyra,134604,649
Tarik,184176,650
Odessa,102698,650
Tarik,144824,652
Melanie,136566,653
Kelly,115210,655
Lavinia,127042,656
Aspen,163677,657
Jaime,160927,658
MacKensie,160613,659
Salvador,186612,659
Dalton,186766,662
Melanie,167651,663
Kyra,149735,664
Lydia,188544,664
Marshall,130650,665
Delilah,177362,666
Sheila,135612,667
Tarik,188561,668
Dana,190946,671
Dana,176578,672
Aaron,176596,673
Basil,192181,675
Laurel,100271,676
Kato,150820,678
Zia,163967,678
Fitzgerald,111562,679
Philip,194823,681
Marshall,103142,681
Anne,123675,682
Kellie,197690,682
Marshall,131596,683
Kameko,139761,684
Kyra,162946,685
Miriam,103653,685
Kitra,133044,686
Teagan,193496,686
Philip,111658,687
MacKensie,185733,687
Tarik,154962,690
Macy,112520,690
Price,143813,693
Daniel,197784,696
Tarik,185082,696
Daniel,130316,697
Marny,150643,697
Jaime,177289,698
Ali,157932,698
Naomi,128097,698
Christopher,129798,701
Dalton,166429,702
Colton,158735,702
Heidi,117753,703
Dana,148597,704
Jacob,189613,706
Marny,186836,707
Miriam,129465,707
Knox,122150,707
Isabella,185768,708
Ali,160968,709
Philip,157733,709
Yardley,185795,710
Kelly,176957,711
Hermione,179025,712
Jane,180327,713
Daniel,177380,716
Michael,146204,719
Caldwell,170757,719
Jasmine,140549,719
Caldwell,184551,720
Drake,144304,722
Odessa,157043,722
Dana,120232,723
Kyra,190316,723
Dalton,128300,723
Christopher,105348,725
Jesse,125573,726
Aaron,138207,726
Marsden,199840,727
Anne,104437,728
Laurel,131105,729
Anastasia,189425,730
Alan,177517,730
Cailin,188618,731
Wyatt,112604,731
Zoe,138225,732
Marshall,177192,732
Anne,182039,732
Dalton,120347,733
Daniel,174241,733
Idola,192805,734
Idola,115068,734
Gwendolyn,191558,734
Driscoll,120982,734
Kyra,178625,736
Quon,154870,736
Driscoll,101276,737
Colton,111548,737
Hilel,184734,737
Hermione,172167,740
Jesse,181224,742
Zia,151162,742
Daniel,151223,743
Merrill,145320,744
Isabella,165547,746
Sloane,167790,746
Kyra,126533,746
Casey,110207,747
Olivia,190743,747
Anastasia,116820,748
Heidi,155300,748
Aspen,146597,749
Nayda,180673,751
Anastasia,145055,752
Rylee,101254,752
Rinah,116281,753
Samantha,151512,753
Lavinia,126887,753
Merrill,155246,754
Ezekiel,151419,756
Mariko,146360,757
Marshall,154784,758
Lavinia,150222,759
Sheila,149456,759
Anastasia,160981,759
Colton,141192,763
Dana,147710,763
Teagan,128939,764
Hilel,195288,765
Kyra,138219,766
Idola,192784,766
Nayda,127382,769
Tashya,199626,770
Olivia,139895,770
Rylee,176277,770
Salvador,193656,772
Hermione,147863,772
Jane,146819,775
Lydia,136548,775
Michael,117046,775
Michael,156787,778
Kameko,179570,780
Tarik,163300,781
Tucker,122386,781
Tucker,114672,782
Kellie,186787,784
Aspen,152373,784
Ali,180724,786
Teagan,154296,786
Alan,133763,787
Ulric,121612,787
Delilah,180527,791
Eagan,103469,793
Kitra,102431,796
Fuller,164854,796
Knox,166377,797
Anne,141938,797
Kato,177305,797
Dalton,183706,797
Olivia,105789,799
Skyler,121222,800
Dana,109560,801
Knox,171338,801
Kellie,105418,801
Hayfa,189292,803
Odessa,196686,805
Jane,160485,805
Delilah,150997,807
Teagan,121413,807
Wyatt,127069,809
Amanda,115659,810
Marsden,191132,810
Ulric,184179,811
Marsden,185459,811
Amir,161352,811
Melanie,103935,813
Anastasia,147932,813
Gwendolyn,120295,815
Ulric,157087,815
Ali,193265,816
Idola,124241,817
Callie,174987,818
Callie,168567,818
Zia,183265,820
Ezekiel,126074,824
Gwendolyn,104648,825
Kyra,165902,825
Kameko,183150,825
Drake,108693,829
Anne,111774,829
Rinah,173652,830
Price,192477,830
Melanie,120421,831
Kellie,153735,832
Christopher,122569,837
Hayfa,178605,838
Knox,157149,839
Ezekiel,131295,839
Lydia,172560,840
Tucker,141658,840
Teagan,160206,840
Jacob,106298,841
Laurel,160980,843
Colton,156712,846
Miriam,111282,848
Kellie,128577,849
Travis,119839,849
Wynter,145980,849
Ezekiel,141480,849
Tad,169650,850
Wynter,177547,850
Isabella,179785,852
Jaime,193944,853
Anastasia,163184,854
Tashya,178360,855
Ezekiel,161092,857
Hayes,181010,859
Aquila,141250,860
Katelyn,172248,860
Kyra,173848,861
Kameko,161746,863
Skyler,103972,864
Jaime,119162,864
Sheila,189647,865
Aquila,149285,866
Driscoll,160480,866
Basil,174085,866
Kieran,130769,868
MacKensie,122642,871
Ulric,198852,872
Melanie,191107,873
Tad,119610,873
Freya,188970,874
Skyler,190043,874
Cailin,183324,874
Kelly,113740,874
Marsden,101377,875
Katelyn,118645,875
Heidi,146218,875
Vincent,161683,877
Aquila,104730,878
Philip,178786,878
Dana,109963,879
Caldwell,152259,879
Marny,121292,884
Nayda,100227,886
Anastasia,138274,886
Rinah,139306,887
Ulric,164427,888
Zoe,144298,888
Jasmine,173767,888
Macy,112496,889
Travis,135923,894
Casey,135286,894
Delilah,194254,895
MacKensie,111768,897
Kameko,116481,898
Amanda,183214,898
Jasmine,100441,899
Christopher,163035,899
Philip,133988,899
Kyra,118416,900
Dana,131162,904
Mariko,115055,906
Marshall,176600,907
Kieran,177070,907
Tad,174875,908
Knox,183097,909
Driscoll,173970,910
Macy,110838,910
Laurel,147361,911
Rylee,155818,912
Knox,176744,912
Fitzgerald,180349,912
Wynter,194787,913
Sheila,176630,914
Delilah,192997,914
Amanda,133038,915
Tad,168938,916
Marsden,103433,919
Dana,199194,920
Macy,160841,923
Vincent,101289,924
Fuller,106856,925
Kato,175722,925
Naomi,136386,926
Tad,141700,929
Marny,170490,930
Merrill,138288,930
Anne,193015,930
Nayda,143441,931
Ulric,139550,932
Rinah,187124,933
Kameko,123784,933
Lydia,163685,933
Philip,181850,934
Lavinia,105335,934
Kellie,193462,935
Hayes,100336,937
Yardley,195810,937
Jacob,193422,939
Dana,193178,939
Melanie,115256,940
Michael,153609,944
Christopher,184071,945
Amir,127900,945
Driscoll,145914,945
Alan,101567,945
Jane,128108,945
Sheila,197766,946
Tucker,178373,948
Marsden,183130,948
MacKensie,171578,951
MacKensie,135868,954
Salvador,105271,955
Tashya,146468,955
Ulric,183826,956
Prescott,167152,956
Daryl,118133,958
Marshall,182452,958
Salvador,109368,959
Amanda,136492,960
Ali,198743,960
Hayes,145578,964
Wynter,100251,965
Jasmine,104977,965
Sloane,197339,966
Rylee,199126,966
Driscoll,109357,967
Anastasia,105964,968
Callie,132184,971
Tarik,163540,973
Heidi,109665,975
Anastasia,182686,975
Lydia,145627,975
Wyatt,141255,976
Price,115652,978
Isabella,172924,980
Marshall,160147,980
Anne,129618,980
Ali,115098,984
Kieran,101307,986
Salvador,175413,986
Casey,147905,988
Quon,199759,990
Daryl,195640,991
Macy,125128,992
Rinah,104006,996
Jasmine,108542,996
Callie,180000,997
Tarik,127030,997
Lydia,190486,998
Fitzgerald,166566,998
Anastasia,164438,999
